LIST Oct97-680.list LET_A 9 taxfile 126maxNL.tax
172 aabbababa -0.74290  1.78211 -1.06346  277
173 babbababa -0.80592  2.01732 -1.30073   89
174 abbbababa -0.41106  2.31802 -2.14626   88
175 bbbbababa -1.02773  1.22701 -0.27836   28
176 aaaabbaba -0.81171  1.71181 -0.92963  625
177 baaabbaba  0.22070  0.83146 -0.88691  276
178 abaabbaba  0.77614  0.64205 -1.31939  292
179 bbaabbaba  0.92598  0.21459 -1.08572  140
180 aababbaba -1.07402  2.37377 -1.54889  253
181 bababbaba -0.86792  2.22183 -1.51540   87
182 abbabbaba  1.29420  1.05359 -2.81328   96
183 bbbabbaba  0.31141  1.57494 -1.92222   31
184 aaabbbaba -0.60370  2.60582 -2.40059  279
185 baabbbaba  0.24790  2.15460 -2.97880  116
186 ababbbaba -0.64426  2.46802 -2.10618   86
187 bbabbbaba  1.42183  1.09605 -3.27836   35
188 aabbbbaba -1.16490  3.34808 -3.08055  103
189 babbbbaba -0.01874  3.04769 -10.00000   23
190 abbbbbaba -0.41106  3.13515 -4.38689   24
191 bbbbbbaba  2.49583  0.53312 -10.00000    7
192 aaaaaabba  0.31442 -1.09479  0.31053 1213
193 baaaaabba  0.20753 -1.06079  0.39393  641
194 abaaaabba -0.16551 -1.33997  0.83259  579
195 bbaaaabba -0.43940 -1.41642  1.09248  341
196 aabaaabba  0.88005 -1.19903 -0.19204  670
197 babaaabba  0.27970 -1.01749  0.31021  283
198 abbaaabba  0.58484 -0.72418 -0.11012  293
199 bbbaaabba  0.21138 -0.88192  0.31253  115
200 aaabaabba  1.72023 -1.17537 -1.10364  807
201 baabaabba  2.23236 -1.80792 -1.43892  410
202 ababaabba  1.06326 -0.46086 -0.74427  287
203 bbabaabba  1.06025 -0.10273 -0.98434  127
204 aabbaabba  2.14172 -0.86412 -1.80570  402
205 babbaabba  2.25705 -1.44120 -1.62075  184
206 abbbaabba  1.32863  0.33799 -1.73779  112
207 bbbbaabba -0.12155  1.85504 -1.77021   38
208 aaaababba -0.00325  1.00912 -0.84668  649
209 baaababba  0.99493  0.34293 -1.28813  339
210 abaababba -0.12234  0.92811 -0.65623  235
211 bbaababba  0.42388  0.23729 -0.56130  118
212 aabababba -0.54599  1.53756 -0.93809  292
213 babababba -0.31152  1.39561 -0.97880  114
214 abbababba  0.22121  1.04146 -1.10844   91
215 bbbababba  0.46341  1.14455 -1.51540   29
216 aaabbabba  1.74874  0.18229 -2.22451  356
217 baabbabba  2.75887 -0.91251 -2.71132  164
218 ababbabba  0.49583  1.63265 -2.32276  104
219 bbabbabba  1.58894  0.53312 -2.44829   49
220 aabbbabba  1.54314  0.93305 -3.18525  110
221 babbbabba  1.55242  1.08453 -3.70463   46
222 abbbbabba -0.30003  2.91917 -3.86332   34
223 bbbbbabba  0.17390  0.85504 -0.86332    9
224 aaaaabbba -0.60084  0.96684 -0.31078  650
225 baaaabbba -1.07706  0.69415  0.23690  288
226 abaaabbba -0.15624  0.49596 -0.24080  246
227 bbaaabbba -0.33133  0.34981  0.01537  119
228 aabaabbba  0.50306  1.12757 -1.54490  324
229 babaabbba  0.40608  1.08722 -1.37234  100
230 abbaabbba  0.96955  0.44001 -1.35271   99
231 bbbaabbba  0.17390  0.47653 -0.51540   36
232 aaababbba  0.18073  1.49825 -1.63004  317
233 baababbba  0.74219  0.87642 -1.54515  101
234 abababbba  0.00884  1.33720 -1.22322  107
235 bbababbba -0.32860  1.47653 -1.05597   23
236 aabbabbba  1.71447  0.73305 -3.15611  108
237 babbabbba  0.99703  1.19608 -2.44829   49
238 abbbabbba  0.89380  1.57494 -3.08572   31
239 bbbbabbba  3.17390 -0.14496 -10.00000    5
240 aaaabbbba -2.13644  3.04986 -1.75354  273
241 baaabbbba -0.29424  2.34485 -2.36082  113
242 abaabbbba -0.90010  2.53785 -1.93732   99
243 bbaabbbba  0.86905  0.36962 -1.15878   38
244 aababbbba -1.66740  3.64354 -3.00083   98
245 bababbbba  0.39630  2.00705 -2.95079   19
246 abbabbbba  1.02190  1.39561 -2.95079   19
247 bbbabbbba  2.17390 -0.46688 -2.18525    6
248 aaabbbbba -1.34067  3.93305 -4.35518   94
249 baabbbbba  1.55242  1.21761 -4.32276   23
250 ababbbbba  0.31141  2.32453 -3.72130   31
251 bbabbbbba  1.17390  1.85504 -10.00000    8
252 aabbbbbba  0.65034  2.37861 -10.00000   39
253 babbbbbba  1.58894  1.44001 -10.00000    7
254 abbbbbbba  1.58894  1.44001 -10.00000    7
255 bbbbbbbba  0.17390  0.85504 -0.86332    3
256 aaaaaaaab -0.59256 -1.82458  1.36216 2003
257 baaaaaaab -0.74937 -1.95617  1.53417 1203
258 abaaaaaab -0.49623 -1.63776  1.21964 1238
259 bbaaaaaab -0.64810 -1.79004  1.39714  635
260 aabaaaaab -0.32860 -1.72992  1.10782 1196
261 babaaaaab -0.92640 -0.96482  1.26974  661
262 abbaaaaab -0.33389 -1.25086  0.94035  615
263 bbbaaaaab -1.87856 -0.63174  1.65347  251
264 aaabaaaab -0.57826 -1.14204  1.09222 1114
265 baabaaaab -0.37316 -1.13350  0.92400  706
266 ababaaaab -1.31964 -0.18828  1.05499  630
267 bbabaaaab -1.11632 -0.02168  0.81994  271
268 aabbaaaab -0.19321 -0.35441  0.38460  630
269 babbaaaab -0.12614  0.00705  0.10083  322
270 abbbaaaab -1.42064  0.83038  0.30080  352
271 bbbbaaaab -1.85852  1.59725 -0.23678  101
272 aaaabaaab  0.54467 -0.78714 -0.04086 1253
273 baaabaaab  0.91087 -1.54289 -0.10158  704
274 abaabaaab  1.17390 -1.35757 -0.43248  760
275 bbaabaaab  1.24102 -1.71785 -0.38333  387
276 aababaaab -0.37258  0.35909  0.03981  596
277 bababaaab -0.16238  0.49349 -0.23369  282
278 abbabaaab  0.45888  0.40438 -0.73381  280
279 bbbabaaab  0.04679  0.49956 -0.41854  121
280 aaabbaaab  0.63704  0.02119 -0.61317  598
281 baabbaaab  1.43989 -0.61152 -1.07998  359
282 ababbaaab  0.66556  0.44941 -0.99635  281
283 bbabbaaab  1.31933 -0.63528 -0.92606  139
284 aabbbaaab -0.50547  1.61571 -1.06210  290
285 babbbaaab  0.58894  0.97704 -1.46666  105
286 abbbbaaab -1.08596  2.11808 -1.21291  110
287 bbbbbaaab -0.32086  1.85504 -1.54140   42
288 aaaaabaab  0.16857 -0.79880  0.31220 1218
289 baaaabaab  0.12951 -1.17838  0.51172  735
290 abaaabaab  1.24466 -1.79991 -0.36344  775
291 bbaaabaab  0.73220 -1.88520  0.17320  316
292 aabaabaab  0.87670 -1.11896 -0.22052  682
293 babaabaab  0.16736 -0.44089  0.12796  331
294 abbaabaab  1.66556 -1.26314 -1.00188  397
295 bbbaabaab  0.62958 -0.35255 -0.35714  118
296 aaababaab -1.01435  0.90302  0.01715  628
297 baababaab -0.99893  0.61219  0.26055  303
298 abababaab -0.28723  1.02410 -0.60828  289
299 bbababaab -0.78957  0.74315  0.01884   98
300 aabbabaab -0.44805  1.14253 -0.59539  314
301 babbabaab -1.09911  0.97704 -0.00083  105
302 abbbabaab -0.22096  1.73721 -1.48781   98
303 bbbbabaab -0.94157  1.67447 -0.79621   32
304 aaaabbaab  1.28617 -0.03477 -1.31253  720
305 baaabbaab  1.31910 -0.42854 -1.05514  358
306 abaabbaab  2.36778 -1.21736 -1.88218  480
307 bbaabbaab  2.64422 -1.23688 -2.25327  181
308 aababbaab  1.63887  0.02010 -1.85268  338
309 bababbaab  0.77337  0.58496 -1.25564  116
310 abbabbaab  2.50253 -1.03031 -2.19675  151
311 bbbabbaab  1.88017  0.34603 -2.73779   50
312 aaabbbaab  0.34899  1.52642 -1.90080  291
313 baabbbaab  1.35611  0.55126 -2.04919  111
314 ababbbaab  1.19899  1.27008 -3.10433  115
315 bbabbbaab  2.23280  0.42209 -3.99261   37
316 aabbbbaab -0.70057  2.96694 -3.00083   98
317 babbbbaab  0.10977  2.36962 -3.23256   34
318 abbbbbaab  1.17390  1.68512 -4.90772   34
319 bbbbbbaab  1.17390  1.85504 -10.00000   16
320 aaaaaabab -0.80919 -0.67033  1.03057 1169
321 baaaaabab -0.78303 -0.65771  1.00499  664
322 abaaaabab -0.82610 -0.96513  1.19750  645
323 bbaaaabab -0.70479 -0.47886  0.84717  290
324 aabaaabab  0.54749 -1.00478  0.05471  669
325 babaaabab -0.59580 -0.79348  0.93982  269
326 abbaaabab  0.30066 -0.78054  0.18429  303
327 bbbaaabab -0.47181 -0.33564  0.59124  128
328 aaabaabab -0.36484  0.22311  0.13668  578
329 baabaabab  0.06811 -0.74741  0.37601  290
330 ababaabab -1.14174  0.49247  0.44209  275
331 bbabaabab -0.95995  0.25018  0.52572   97
332 aabbaabab  0.96809  0.07908 -1.02037  323
333 babbaabab  0.80467 -0.22837 -0.61430  110
334 abbbaabab  0.15154  0.69585 -0.68824   97
335 bbbbaabab -0.12155  1.07744 -0.80674   38
336 aaaababab -0.90039  1.54324 -0.68130  641
337 baaababab -0.07121  0.55891 -0.36507  273
338 abaababab -0.62391  1.13656 -0.45655  291
339 bbaababab  0.13996 -0.18760  0.00132  128
340 aabababab -0.95163  1.88439 -1.02795  295
341 babababab -0.70057  1.64859 -0.94133   84
342 abbababab -0.72226  1.68512 -0.96642   85
343 bbbababab  0.17390  0.63265 -0.65182   30
344 aaabbabab -0.62607  1.88953 -1.29156  251
345 baabbabab  0.17390  1.14651 -1.17591  108
346 ababbabab -1.10903  2.31802 -1.44829   88
347 bbabbabab  0.98126  0.39561 -1.32276   30
348 aabbbabab -0.43182  2.45295 -2.35975   93
349 babbbabab  0.26701  0.94815 -1.05597   23
350 abbbbabab -0.30003  1.68512 -1.33726   34
351 bbbbbabab -0.41106 -0.95231  0.87364    8
352 aaaaabbab  0.00739  0.19985 -0.14805  610
353 baaaabbab -0.57291 -0.02328  0.46473  318
354 abaaabbab  0.73096 -0.44407 -0.40463  302
355 bbaaabbab  0.59967 -0.95231 -0.01805  112
356 aabaabbab  1.30022 -0.14496 -1.23934  320
357 babaabbab  0.87946 -0.35255 -0.61335  118
358 abbaabbab  1.94361 -0.77114 -1.60408  165
359 bbbaabbab  0.75887  0.10016 -0.80192   35
360 aaababbab -0.98260  1.85504 -0.97210  262
361 baababbab -0.49595  1.21761 -0.63384   92
362 abababbab -0.34693  1.56226 -1.14016   89
363 bbababbab -0.24113  1.04769 -0.67068   33
364 aabbabbab  1.62762  0.52384 -2.51102  109
365 babbabbab  0.52183  1.03192 -1.44829   36
366 abbbabbab  0.72139  1.79091 -3.22088   45
367 bbbbabbab  1.17390 -10.00000  0.13668    4
368 aaaabbbab -0.47087  1.87724 -1.41884  260
369 baaabbbab  0.15400  1.12513 -1.13011  109
370 abaabbbab  0.84133  1.57032 -2.93107  122
371 bbaabbbab  1.09590  0.79615 -1.96286   37
372 aababbbab  0.37184  1.55736 -1.98434  107
373 bababbbab  1.17390  1.40759 -3.44829   26
374 abbabbbab  1.04837  1.47653 -3.25564   46
375 bbbabbbab -0.82610  2.44001 -1.86332    5
376 aaabbbbab -1.18158  3.22588 -2.80192  104
377 baabbbbab  0.17390  2.24207 -3.03325   30
378 ababbbbab -0.82610  3.51801 -4.44829   25
379 bbabbbbab  1.17390  1.85504 -10.00000    4
380 aabbbbbab -0.82610  2.94251 -2.73779   25
381 babbbbbab  0.17390  2.85504 -10.00000    6
382 abbbbbbab  2.58894  0.44001 -10.00000   11
383 bbbbbbbab  1.17390 -10.00000  0.13668    2
384 aaaaaaabb -0.20114 -1.75594  1.00501 1150
385 baaaaaabb -0.26135 -1.67193  1.03114  689
386 abaaaaabb -0.21958 -1.39661  0.90007  642
387 bbaaaaabb -0.72113 -1.78303  1.45485  269
388 aabaaaabb -0.18473 -1.55367  0.92553  581
389 babaaaabb -0.78762 -1.14496  1.25467  279
390 abbaaaabb -0.33072 -1.35181  0.97737  307
391 bbbaaaabb -1.03420 -0.75068  1.23065  163
392 aaabaaabb  0.04679 -0.90121  0.46719  605
393 baabaaabb  0.68540 -1.84540  0.20838  322
394 ababaaabb -0.36862 -0.58553  0.65514  270
395 bbabaaabb  0.06957  0.17697 -0.18525  126
396 aabbaaabb  0.18121 -0.30893  0.03916  296
397 babbaaabb  0.58894 -0.59665 -0.17935  110
398 abbbaaabb -0.59869  0.08246  0.40969  106
399 bbbbaaabb -1.14802  0.53312  0.41231   42
400 aaaabaabb  1.08004 -0.72082 -0.61490  738
401 baaabaabb  1.60275 -1.47994 -0.84562  366
402 abaabaabb  1.69220 -1.26043 -1.03325  377
403 bbaabaabb  2.27753 -1.93155 -1.44829  148
404 aababaabb  0.66423 -0.15127 -0.52012  286
405 bababaabb  0.54164  0.07483 -0.55520  102
406 abbabaabb  0.61869  0.44001 -0.93547  121
407 bbbabaabb  0.91087  0.90395 -1.82268   44
408 aaabbaabb  1.92488 -0.20024 -2.06283  330
409 baabbaabb  2.33788 -1.09915 -1.91541  175
410 ababbaabb  2.07534 -0.70789 -1.82799  152
411 bbabbaabb  2.07202 -2.02760 -1.18525   63
412 aabbbaabb  1.04145  0.83514 -1.93044  109
413 babbbaabb  1.95151  0.36962 -2.95079   38
414 abbbbaabb -0.14802  1.99255 -1.95079   42
415 bbbbbaabb  0.85198  1.53312 -2.86332    9
416 aaaaababb -0.23444  0.05395  0.15617  592
417 baaaababb -0.45305 -0.16176  0.46866  323
418 abaaababb  0.62186 -0.45635 -0.28863  328
419 bbaaababb  0.52678 -0.29552 -0.29075  136
420 aabaababb -0.24113  0.49956 -0.17453  242
421 babaababb  0.19815  0.33421 -0.42132   89
422 abbaababb  1.00679 -0.48124 -0.67068  121
423 bbbaababb  0.62136 -0.24449 -0.41586   37
424 aaabababb -0.59163  1.18762 -0.53075  264
425 baabababb -0.87239  1.15707 -0.30693  118
426 ababababb -0.74893  1.57820 -0.82585  115
427 bbabababb  0.17390  0.85504 -0.86332   30
428 aabbababb -0.24931  1.01259 -0.62886   81
429 babbababb -0.28553  1.66240 -1.32276   30
430 abbbababb  0.32591  1.22701 -1.44829   28
431 bbbbababb  0.95151 -0.60439 -0.54140   13
432 aaaabbabb  1.41094  0.31390 -1.83394  305
433 baaabbabb  1.91641 -0.26469 -1.98306  139
434 abaabbabb  2.61642 -0.55213 -2.87455  145
435 bbaabbabb  3.14353 -2.36735 -2.33726   59
436 aababbabb  0.31331  1.77412 -2.26771  107
437 bababbabb  0.78159  0.79615 -1.50075   37
438 abbabbabb  2.08644 -0.10843 -2.44829   49
439 bbbabbabb  1.82598  0.85504 -3.95079   18
440 aaabbbabb  0.94649  1.49659 -3.01533   89
441 baabbbabb  2.54314  0.13258 -4.22088   43
442 ababbbabb  2.42766  0.44001 -5.28959   44
443 bbabbbabb -0.28553  2.44001 -2.56376   15
444 aabbbbabb  0.17390  2.64354 -4.72130   30
445 babbbbabb -1.14802  4.17697 -10.00000    6
446 abbbbbabb -1.41106  2.27008 -1.18525    7
447 bbbbbbabb  3.49583 -0.46688 -10.00000    6
448 aaaaaabbb -0.93781 -0.44494  0.98753  628
449 baaaaabbb -0.90044 -0.76121  1.14467  271
450 abaaaabbb -1.47904 -0.71177  1.48790  277
451 bbaaaabbb -0.96905 -0.36286  0.95713  130
452 aabaaabbb -0.72023 -0.25570  0.72164  250
453 babaaabbb -0.10363 -1.08837  0.67920  113
454 abbaaabbb -0.32567 -0.71481  0.68922  111
